,topic,source_TECHNEWS,source_CNA,type_科技,type_財經,source_NYT,type_國際,source_BBC
0,0,0.9666666666666670,0.0333333333333333,1.0,0.0,0.0,0.0,0.0
1,1,0.8,0.2,0.7,0.3,0.0,0.0,0.0
2,2,0.8666666666666670,0.1333333333333330,0.8333333333333330,0.1666666666666670,0.0,0.0,0.0
3,3,0.9333333333333330,0.0333333333333333,0.8666666666666670,0.1,0.0333333333333333,0.0333333333333333,0.0
4,4,0.7666666666666670,0.2333333333333330,0.9,0.1,0.0,0.0,0.0
5,5,0.8333333333333330,0.1666666666666670,0.8333333333333330,0.1666666666666670,0.0,0.0,0.0
6,6,0.1666666666666670,0.0,0.1666666666666670,0.1333333333333330,0.5,0.7,0.3333333333333330
7,7,0.9666666666666670,0.0333333333333333,0.9,0.1,0.0,0.0,0.0
8,8,1.0,0.0,0.4,0.6,0.0,0.0,0.0
9,9,0.9666666666666670,0.0333333333333333,0.9,0.1,0.0,0.0,0.0
10,10,0.9,0.1,0.8666666666666670,0.1333333333333330,0.0,0.0,0.0
11,11,1.0,0.0,0.5,0.5,0.0,0.0,0.0
12,12,0.2333333333333330,0.0,0.1666666666666670,0.0666666666666666,0.2333333333333330,0.7666666666666670,0.5333333333333330
