主題,類別,標題,關鍵句,情緒分數,分類結果,URL,來源,日期
0,財經,新青安助攻擁宅均價破千萬！有房大學生數量攀五年新高,"新青安優惠貸款自推出至今，促進首購青年買房熱潮，住商機構觀察聯徵中心數據，今年上半年度共有 11 萬 9,954 筆新增房貸樣本數，其中 20~25 歲學歷為大學者達到 1,821 筆，大家房屋企劃研究室公關主任賴志昶分析，「富爸媽」在進行資產規劃同時，出資為下一代圓成家夢",2,正面,https://finance.technews.tw/2024/10/25/college-students-with-housing/,TECHNEWS,2024-10-25
0,財經,經濟增長仍有風險，適度減持股票,總結來看，全球經濟雖有所改善，但增長放緩與通膨壓力下降的過程較為緩慢，資產配置建議適度減少股票，增加美國固定收益資產,0,中性,https://finance.technews.tw/2024/10/08/economy-reduce-stock-holdings/,TECHNEWS,2024-10-08
0,財經,Siegel：共和黨若完全執政，殖利率、美股將衝高,Siegel 28日並在WisdomTree每週評論指出，美國10年期公債殖利率目前已揚升至4.2%附近，預測未來可能進一步走升、因為經濟仍保持強勁,0,中性,https://finance.technews.tw/2024/10/29/if-the-republicans-win-the-election-yields-may-continue-to-rise/,TECHNEWS,2024-10-29
0,財經,美經濟看似繁榮，租屋族、年輕世代壓力沉重,Axios分析，美國租金高昂的現象可能持續至2026年，租屋族在現有租約到期後，可能面臨更高昂的租金,0,中性,https://finance.technews.tw/2024/10/22/why-is-wall-street-worrying-about-renters-and-younger-borrowers/,TECHNEWS,2024-10-22
0,財經,美國經濟繁榮循環到，瑞銀：愈來愈像咆哮的 20 年代,"年代有強勁經濟週期的特徵，故瑞銀宣布
年代為「咆哮的 
年代」，有幾項標準，包括
持續成長
或更高，通膨率
，聯邦基金利率
左右，十年期國債收益率在",0,中性,https://finance.technews.tw/2024/10/03/us-economy-will-into-roaring-20s/,TECHNEWS,2024-10-03
1,財經,特斯拉自駕車細節不明讓人失望，Uber、Lyft 逆勢飆,"特斯拉
備受矚目的自駕計程車（Robotaxi），但進入市場的規劃不明，也缺乏安全數據，讓市場失望；Uber、Lyft 等共享汽車平台逆勢飆漲",-2,負面,https://finance.technews.tw/2024/10/14/uber-lyft-jump-after-teslas-toothless-taxi-fails-to-excite-investors/,TECHNEWS,2024-10-14
2,財經,中國宣布對歐洲白蘭地實施臨時反傾銷措施,"在歐盟成員國上週五投票決定繼續
對中國電動汽車徵收反補貼關稅
後，中國商務部發布了針對白蘭地的措施",0,中性,https://cn.nytimes.com/business/20241009/china-europe-brandy/zh-hant/,NYT,2024-10-09
2,財經,碧桂園森林城市：中國房市崩盤與一座馬來西亞空城,"Amrita Chandradas for The New York Times
森林城市一座公寓樓前掛鎖的店面",0,中性,https://cn.nytimes.com/business/20241023/forest-city-country-garden/zh-hant/,NYT,2024-10-23
2,財經,中國施壓、外國抵制：在華外企陷入「新疆困境」,這使一些跨國公司陷入法律困境，因為包括美國和歐盟國家在內的越來越多的外國政府限制或禁止從新疆進口產品,-3,負面,https://cn.nytimes.com/business/20241008/china-xinjiang/zh-hant/,NYT,2024-10-08
2,財經,謀殺、污染、投機狂潮：中國如何馴服「瘋狂的」稀土行業,但自那以後，中國執法部門的打擊行動和政府對該行業的整合使中國得以控制國內的稀土供應，並遏制過度開採,-2,負面,https://cn.nytimes.com/china/20241029/china-rare-earths-mining/zh-hant/,NYT,2024-10-29
2,財經,中國進一步收緊對稀土開採、冶煉和出口限制,在中國運營的最後兩家外資稀土冶煉廠正在被一家中國國有企業收購，該企業是中國三家從事稀土冶煉的國有企業之一,0,中性,https://cn.nytimes.com/china/20241028/china-critical-minerals-semiconductors/zh-hant/,NYT,2024-10-28
3,財經,SAP 生成式 AI 智慧助理 Joule 加速企業革新,SAP 為其能夠真正理解企業的生成式 AI 智慧助理 Joule 引入協作式 AI 代理技術，擴展 Joule 的能力以支援 SAP 80% 最常使用的營運任務，同時將 Joule 更深嵌入公司各項解決方案中,6,正面,https://finance.technews.tw/2024/10/10/sap-joule/,TECHNEWS,2024-10-10
3,財經,66 億美元的靈魂拷問，OpenAI 會不會變成 AI 界的巨無霸？,未來，產業可能需要建立更加開放和合作的發展模式，確保不同規模的企業都能在公平的環境中競爭和創新,4,正面,https://finance.technews.tw/2024/10/14/openai-transformation/,TECHNEWS,2024-10-14
3,財經,Google 計劃 Gemini 併入 DeepMind，11 月生效,"Gemini 主成員有：
研發 Gemini AI 助理的 Google DeepMind 團隊，是 2023 年將 DeepMind 與 Google Brain 合併成的新部門，由 Demis Hassabis 擔任首席執行長",0,中性,https://finance.technews.tw/2024/10/23/google-gemini-deepmind/,TECHNEWS,2024-10-23
